1	Андорра	82.75	80.4	85.1
2	Япония	82.15	78.7	85.6
3	Сан-Марино	82	78.4	85.6
4	Сингапур	82	79.3	84.7
5	Франция	81	77.7	84.3
6	Австралия	80.7	77.8	83.6
7	Швейцария	80.7	77.8	83.6
8	Швеция	80.7	78.4	83
9	Исландия	80.45	78.3	82.6
10	Канада	80.45	77	83.9
11	Италия	80.05	77	83.1
12	Монако	79.95	76	83.9
13	Норвегия	79.9	76.5	83.3
14	Израиль	79.9	76.5	83.3
15	Испания	79.9	76.5	83.3
16	Лихтенштейн	79.8	76.2	83.4
17	Греция	79.5	76.9	82.1
18	Австрия	79.3	76.3	82.3
19	Мальта	79.25	77	81.5
20	Люксембург	79.15	75.8	82.5
21	Южная Корея	79.1	78.1	80.1
22	Нидерланды	79.05	76.8	81.3
23	Новая Зеландия	79.05	76	82.1
24	Германия	79.05	76	82.1
25	Бельгия	79	75.8	82.2
26	Великобритания	78.75	76.2	81.3
27	Финляндия	78.75	75.2	82.3
28	Иордания	78.6	76	81.2
29	Босния и Герцеговина	78.3	74.6	82
30	Соединенные Штаты Америки	78.1	75.2	81
31	Кипр	78.05	75.6	80.5
32	Дания	78.05	75.7	80.4
33	Португалия	78	74.6	81.4
34	Ирландия	78	75.3	80.7
35	Албания	77.75	75	80.5
36	Кувейт	77.4	76.3	78.5
37	Коста-Рика	77.25	74.6	79.9
38	Чили	77.05	73.7	80.4
39	Ливия	76.9	74.6	79.2
40	Словения	76.65	72.8	80.5
41	Польша	76.65	73.9	79.4
42	Эквадор	76.65	73.7	79.6
43	Грузия	76.55	73	80.1
44	Чехия	76.5	73.1	79.9
45	Аргентина	76.4	72.6	80.2
46	Уругвай	76	72.7	79.3
47	Куба	75.95	72.6	79.3
48	Саудовская Аравия	75.95	73.9	78
49	Мексика	75.95	73.1	78.8
50	Объединенные Арабские Эмираты	75.8	73.2	78.4
51	Тринидад и Тобаго	75.45	76.8	74.1
52	Парагвай	75.4	72.8	78
53	Тунис	75.4	73.6	77.2
54	Бруней	75.35	73.1	77.6
55	Сербия	75.2	72.5	77.9
